id,depart,arrival,duration,routeLength,waitingTime
mainFlow.0,0.0,42.6,42.6,1494.9,0.0
rampFlow.0,0.0,45.4,45.4,1146.27,0.0
mainFlow.1,1.4,46.0,44.6,1494.9,0.0
mainFlow.2,2.8,47.2,44.4,1494.9,0.0
rampFlow.1,3.6,47.8,44.2,1146.27,0.0
rampFlow.2,7.2,53.6,46.4,1146.27,0.0
mainFlow.3,4.0,58.4,54.4,1494.9,0.0
mainFlow.5,6.8,59.2,52.4,1494.9,0.0
rampFlow.3,10.8,60.2,49.4,1146.27,0.0
mainFlow.7,9.4,60.4,51.0,1494.9,0.0
mainFlow.4,5.4,61.4,56.0,1494.9,0.0
mainFlow.9,12.0,61.6,49.6,1494.9,0.0
mainFlow.10,13.4,62.8,49.4,1494.9,0.0
mainFlow.6,8.0,63.0,55.0,1494.9,0.0
mainFlow.8,10.8,63.8,53.0,1494.9,0.0
rampFlow.4,14.4,64.2,49.8,1146.27,0.0
rampFlow.5,18.0,65.6,47.6,1146.27,0.0
mainFlow.11,14.8,66.2,51.4,1494.9,0.0
mainFlow.12,16.0,67.4,51.4,1494.9,0.0
mainFlow.13,17.4,67.4,50.0,1494.9,0.0
mainFlow.15,20.0,68.6,48.6,1494.9,0.0
mainFlow.16,21.4,69.8,48.4,1494.9,0.0
rampFlow.6,21.6,69.8,48.2,1146.27,0.0
mainFlow.14,18.8,71.0,52.2,1494.9,0.0
rampFlow.7,25.2,72.6,47.4,1146.27,0.0
mainFlow.19,25.4,75.0,49.6,1494.9,0.0
mainFlow.20,26.8,76.2,49.4,1494.9,0.0
mainFlow.17,22.8,77.4,54.6,1494.9,0.0
mainFlow.21,28.0,78.0,50.0,1494.9,0.0
rampFlow.8,28.8,78.8,50.0,1146.27,0.0
mainFlow.23,30.8,79.2,48.4,1494.9,0.0
mainFlow.18,24.0,80.0,56.0,1494.9,0.0
mainFlow.25,33.4,80.4,47.0,1494.9,0.0
rampFlow.9,32.4,81.2,48.8,1146.27,0.0
mainFlow.27,36.0,81.6,45.6,1494.9,0.0
rampFlow.10,36.0,82.4,46.4,1146.27,0.0
mainFlow.29,38.8,83.0,44.2,1494.9,0.0
mainFlow.22,29.4,83.6,54.2,1494.9,0.0
mainFlow.24,32.0,84.8,52.8,1494.9,0.0
mainFlow.31,41.4,84.8,43.4,1494.9,0.0
