id,depart,arrival,duration,routeLength,waitingTime
mainFlow.0,0.0,42.6,42.6,1494.9,0.0
mainFlow.3,6.0,47.8,41.8,1494.9,0.0
mainFlow.2,4.0,49.6,45.6,1494.9,0.0
mainFlow.1,2.0,50.2,48.2,1494.9,0.0
mainFlow.4,8.0,51.8,43.8,1494.9,0.0
mainFlow.6,12.0,56.8,44.8,1494.9,0.0
mainFlow.8,16.0,64.2,48.2,1494.9,0.0
mainFlow.5,10.0,64.4,54.4,1494.9,0.0
mainFlow.10,20.0,65.4,45.4,1494.9,0.0
mainFlow.7,14.0,65.6,51.6,1494.9,0.0
mainFlow.12,24.0,67.2,43.2,1494.9,0.0
mainFlow.13,26.0,68.4,42.4,1494.9,0.0
mainFlow.11,22.0,69.4,47.4,1494.9,0.0
mainFlow.9,18.0,70.6,52.6,1494.9,0.0
mainFlow.14,28.0,73.6,45.6,1494.9,0.0
mainFlow.15,30.0,78.6,48.6,1494.9,0.0
mainFlow.17,34.0,82.2,48.2,1494.9,0.0
mainFlow.16,32.0,83.4,51.4,1494.9,0.0
mainFlow.18,36.0,84.2,48.2,1494.9,0.0
mainFlow.19,38.0,85.4,47.4,1494.9,0.0
mainFlow.20,40.0,86.6,46.6,1494.9,0.0
mainFlow.21,42.0,86.8,44.8,1494.9,0.0
mainFlow.22,44.0,90.2,46.2,1494.9,0.0
mainFlow.23,46.0,96.8,50.8,1494.9,0.0
mainFlow.25,50.0,101.8,51.8,1494.9,0.0
mainFlow.24,48.0,102.6,54.6,1494.9,0.0
mainFlow.27,54.0,103.0,49.0,1494.9,0.0
mainFlow.26,52.0,104.0,52.0,1494.9,0.0
mainFlow.28,56.0,104.2,48.2,1494.9,0.0
mainFlow.30,60.0,105.4,45.4,1494.9,0.0
rampFlow.0,60.0,105.4,45.4,1146.27,0.0
mainFlow.32,64.0,106.6,42.6,1494.9,0.0
mainFlow.29,58.0,106.8,48.8,1494.9,0.0
mainFlow.31,62.0,108.0,46.0,1494.9,0.0
rampFlow.1,66.0,109.4,43.4,1146.27,0.0
mainFlow.33,66.0,111.6,45.6,1494.9,0.0
mainFlow.35,70.0,113.0,43.0,1494.9,0.0
mainFlow.36,72.0,114.2,42.2,1494.9,0.0
mainFlow.34,68.0,114.4,46.4,1494.9,0.0
mainFlow.37,74.0,117.8,43.8,1494.9,0.0
rampFlow.2,72.0,119.2,47.2,1146.27,0.0
mainFlow.39,78.0,119.4,41.4,1494.9,0.0
rampFlow.3,78.0,121.0,43.0,1146.27,0.0
mainFlow.38,76.0,123.8,47.8,1494.9,0.0
mainFlow.40,80.0,125.0,45.0,1494.9,0.0
mainFlow.41,82.0,125.0,43.0,1494.9,0.0
mainFlow.42,84.0,129.2,45.2,1494.9,0.0
rampFlow.5,90.0,130.8,40.8,1146.27,0.0
rampFlow.4,84.0,131.4,47.4,1146.27,0.0
mainFlow.43,86.0,137.4,51.4,1494.9,0.0
mainFlow.46,92.0,138.8,46.8,1494.9,0.0
mainFlow.47,94.0,140.0,46.0,1494.9,0.0
mainFlow.44,88.0,141.0,53.0,1494.9,0.0
mainFlow.48,96.0,141.4,45.4,1494.9,0.0
mainFlow.50,100.0,142.6,42.6,1494.9,0.0
mainFlow.45,90.0,143.4,53.4,1494.9,0.0
rampFlow.6,96.0,143.6,47.6,1146.27,0.0
mainFlow.49,98.0,148.2,50.2,1494.9,0.0
rampFlow.7,102.0,148.4,46.4,1146.27,0.0
mainFlow.52,104.0,149.4,45.4,1494.9,0.0
mainFlow.51,102.0,149.8,47.8,1494.9,0.0
mainFlow.53,106.0,150.6,44.6,1494.9,0.0
rampFlow.8,108.0,152.2,44.2,1146.27,0.0
mainFlow.54,108.0,152.4,44.4,1494.9,0.0
mainFlow.55,110.0,158.2,48.2,1494.9,0.0
mainFlow.58,116.0,159.6,43.6,1494.9,0.0
rampFlow.9,114.0,160.8,46.8,1146.27,0.0
mainFlow.56,112.0,163.6,51.6,1494.9,0.0
mainFlow.57,114.0,164.0,50.0,1494.9,0.0
